agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	hole_depth_va
USGS	431102072270701	VT-RKW  110	43.18396568	-72.45147740	S	NAD83	 305	 10	NGVD29	98	98
USGS	431118072270201	VT-RKW  104	43.18841000	-72.45008860	S	NAD83	 322	 10	NGVD29	160	160
USGS	431120072270101	VT-RKW  112	43.18896557	-72.44981077	S	NAD83	 325	 10	NGVD29	125	125
USGS	431156072455601	VT-LNW   16	43.19896480	-72.76509640	T	NAD83					
USGS	431203072461901	VT-LNW   13WELL	43.20090920	-72.77148549	T	NAD83					
USGS	431205072455001	VT-LNW   10MIDDLE WELL (2)	43.20146478	-72.76342970	T	NAD83					
USGS	431205072455101	VT-LNW   12RESERVOIR WELL(3	43.20146478	-72.76370749	T	NAD83					
USGS	431206072455001	VT-LNW   11WOODS WELL (1)	43.20174255	-72.76342970	T	NAD83					
USGS	431209072305701	VT-RKW    2	43.20257638	-72.51536730	S	NAD83	 570	 10	NGVD29	88	88
USGS	431211072270201	VT-RKW  107	43.20313196	-72.45008859	S	NAD83	 336	 10	NGVD29	75	75
USGS	431238073040801	VT-MCW   12WELL SITE C	43.21063130	-73.06843789	T	NAD83					
USGS	431244072265901	VT-RKW  103	43.21229840	-72.44925530	S	NAD83	 377	 10	NGVD29	154	154
USGS	431246072270201	VT-RKW  111	43.21285398	-72.45008860	S	NAD83	 479	 10	NGVD29	350	350
USGS	431325072270801	VT-RKW  105	43.22368709	-72.45175530	S	NAD83	 502	 10	NGVD29	237	237
USGS	431327072263401	VT-RKW  100	43.22424260	-72.44231079	S	NAD83	 482	 10	NGVD29	300	300
USGS	431332072262701	VT-RKX    3	43.22563150	-72.44036630	S	NAD83	 472	 10	NGVD29		22.0
USGS	431332072263001	VT-RKX   20	43.22563150	-72.44119970	S	NAD83	 463	 10	NGVD29		27.
USGS	431333072263301	VT-RKX    1	43.22590928	-72.44203300	S	NAD83	 472	 10	NGVD29		27.0
USGS	431334072262701	VT-RKX    7	43.22618705	-72.44036630	S	NAD83	 470	 10	NGVD29		77.
USGS	431335072262301	VT-RKX    5	43.22646480	-72.43925520	S	NAD83	 470	 10	NGVD29		47.
USGS	431335072262302	VT-RKX    6	43.22646480	-72.43925520	S	NAD83	 470	 10	NGVD29		26.5
USGS	431335072262901	VT-RKX    4	43.22646480	-72.44092189	S	NAD83	 472	 10	NGVD29		32.
USGS	431335072262902	VT-RKX   14	43.22646480	-72.44092189	S	NAD83	 470	 10	NGVD29		73.5
USGS	431335072262903	VT-RKX   15	43.22646480	-72.44092189	S	NAD83	 470	 10	NGVD29		80.5
USGS	431335072262904	VT-RKX   16	43.22646480	-72.44092189	S	NAD83	 470	 10	NGVD29		44.0
USGS	431335072262905	VT-RKX   17	43.22646480	-72.44092189	S	NAD83	 470	 10	NGVD29		65.5
USGS	431336072261601	VT-RKW  108	43.22674259	-72.43731070	S	NAD83	 336	 10	NGVD29	153	153
USGS	431336072262501	VT-RKX   13	43.22674259	-72.43981080	S	NAD83	 470	 10	NGVD29		66.6
USGS	431337072262201	VT-RKX   10	43.22702036	-72.43897740	S	NAD83	 470	 10	NGVD29		66.5
USGS	431337072262202	VT-RKX   11	43.22702036	-72.43897740	S	NAD83	 470	 10	NGVD29		41.5
USGS	431339072262601	VT-RKX    8	43.22757590	-72.44008860	S	NAD83	 470	 10	NGVD29		28.
USGS	431339072262602	VT-RKX    9	43.22757590	-72.44008860	S	NAD83	 470	 10	NGVD29		71.5
USGS	431339072262603	VT-RKX   19	43.22757590	-72.44008860	S	NAD83	 470	 10	NGVD29		90.0
USGS	431341072261301	VT-RKW   16CROSSMAN, CHARLE	43.22813145	-72.43647740	U	NAD83					
USGS	431341072262001	VT-RKX   12	43.22813145	-72.43842187	S	NAD83	 470	 10	NGVD29		56.5
USGS	431342072262401	VT-RKX   18	43.22840920	-72.43953299	S	NAD83	 470	 10	NGVD29		90.0
