agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	well_depth_va	hole_depth_va
USGS	373855113380101	 (C-36-16)15cdd- 1	37.64858539	-113.63440850	S	NAD83	 5213.00	  5	NGVD29	200	
USGS	373855113384801	 (C-36-16)16dcd- 1	37.64858528	-113.64746450	F	NAD83	 5211.00	  5	NGVD29		
USGS	373855113393501	 (C-36-16)16ccc- 1	37.64858516	-113.66052050	S	NAD83	 5215.00	2	NGVD29	346	347
USGS	373856113311301	 (C-36-15)22cdd- 1	37.64886414	-113.52107140	F	NAD83	 5420.00	10	NGVD29	75.0	
USGS	373858112255601	 (C-36- 5)29daa- 1	37.64942420	-112.43298480	F	NAD83	 6900.	 40	NGVD29	40.	
USGS	373900113130001	 (C-36-12)20adc- 1	37.65655556	-113.21900000	1	NAD83	 5484	 10	NAVD88	802	1020
USGS	373901113214101	 (C-32-13)30ccc- 1	37.65025400	-113.36217810	S	NAD83	 5109.00	  2	NGVD29	41.5	41.5
USGS	373903113383401	 (C-36-16)16dda- 1	37.65080748	-113.64357550	S	NAD83	 5208.40	.01	NGVD29	68.0	68.0
USGS	373903113383402	 (C-36-16)16dda- 2	37.65080748	-113.64357550	S	NAD83	 5208.87	.01	NGVD29	70.0	
USGS	373904112252801	(C-36- 5)28bdd-1	37.65111110	-112.42444440	U	NAD83					
USEPA	373904113092401	(C-36-24)12cdb-1	37.65111110	-113.15666670	U	NAD83	 5505	  5	NGVD29		
USGS	373905113092401	(C-36-12)24cdb-1	37.65138889	-113.15666670	U	NAD83					
USGS	373907111371901	 (D-36- 3)30bdb- 1	37.65193257	-111.62267340	S	NAD83	 6365.00	20	NGVD29	302	
USGS	373908109290901	 (D-36-22)15cdd- 1	37.65221940	-109.48651080	F	NAD83	 6320.00	40	NGVD29	1960	
USGS	373908112253801	 (C-36- 5)28bdc- 1	37.65220198	-112.42798460	F	NAD83	 6870	 20	NGVD29	577	577
USGS	373908113403301	 (C-36-16)17cbd- 1	37.65219604	-113.67663220	S	NAD83	 5218.00	  2	NGVD29	400	400
USGS	373913109070801	 (D-36-25)13ad - 1	37.65360466	-109.11955570	F	NAD83	 6107.00	200	NGVD29		
USGS	373915108565701	SC04101927	37.65415660	-108.94982950	F	NAD83				158	158
USGS	373915113125601	 (C-36-12)21cbb- 1	37.65414357	-113.21634100	F	NAD83	 5470	 10	NGVD29	228	228
USGS	373916112591801	 (C-36-10)21caa- 1	37.65442160	-112.98911350	S	NAD83	 6480.00	 40	NGVD29	200	200
USGS	373916112591901	 (C-36-10)21caa- 2	37.65442159	-112.98939120	S	NAD83	 6480.00	 40	NGVD29	213	213
USGS	373917112045601	 (C-36- 3)23dcb- 1	37.65470580	-112.08296970	S	NAD83	 6480.00	20	NGVD29	100	100
USGS	373919112050701	 (C-36- 3)23cdb- 1	37.65526130	-112.08602540	S	NAD83	 6500.00	20	NGVD29	90.0	
USGS	373920109041501	 (D-36-26)16cad- 1	37.65554778	-109.07149920	F	NAD83	 6601.00	 20	NGVD29	6370	
USGS	373920111452501	 (D-36- 1)26abb- 1 formerly (D-36- 1)25dd - 1	37.65554370	-111.75767830	F	NAD83	 7260	 20	NGVD29		
USGS	373920113400901	 (C-36-16)17dbb- 1	37.65552935	-113.66996540	S	NAD83	 5210.00	2	NGVD29	404	404
USGS	373920113404201	 (C-36-16)17cbb- 1	37.65552926	-113.67913240	S	NAD83	 5224.00	  2	NGVD29	370	370
USGS	373921109044801	 (D-36-26)17dab- 1	37.65582580	-109.08066600	F	NAD83	 6612.00	 20	NGVD29	6359	
USGS	373921109290301	 (D-36-22)15dbb- 1	37.65583046	-109.48484400	T	NAD83	 6395.00	40	NGVD29	225	225
USGS	373921113390101	 (C-36-16)16acc- 1	37.65580728	-113.65107590	S	NAD83	 5206.00	  2	NGVD29	298	298
USGS	373921113393301	 (C-36-16)16bcc- 2	37.65580720	-113.65996500	S	NAD83	 5208.00	  2	NGVD29	190	190
USGS	373921113393601	 (C-36-16)16bcc- 1	37.65580720	-113.66079840	S	NAD83	 5208.00	  2	NGVD29		
USGS	373921113393602	 (C-36-16)16bcc- 3	37.65580720	-113.66079840	S	NAD83	 5208.00	  2	NGVD29	300	300
USGS	373921113404101	 (C-36-16) 17bcc- 1	37.65580700	-113.67885460	R	NAD83	 5225	  5	NGVD29	500	500
USGS	373923113131101	(C-36-12)20adc-1	37.65638889	-113.21972220	U	NAD83					
USGS	373923113132601	 (C-36-12)20acc- 1	37.65636574	-113.22467460	S	NAD83	 5495.	.20	NGVD29	500.	
USGS	373925113433101	 (C-36-17)14acc- 1	37.65691770	-113.72607840	S	NAD83	 5280.00	 10	NGVD29	138	
USGS	373927109144601	 (D-36-24)14dba- 1	37.65749696	-109.24678060	F	NAD83	 5380.00	40	NGVD29	245	
USGS	373928113085001	(C-36-12)24adb-1	37.65777778	-113.14722220	U	NAD83					
USGS	373929113335201	 (C-36-15)20bbc- 1	37.65803020	-113.56523970	F	NAD83	 5262.00	 10	NGVD29	500	501
USGS	373929113342001	 (C-36-15) 19aca- 1	37.65803014	-113.57301770	R	NAD83	 5230	 10	NGVD29		
USGS	373929113343101	 (C-36-15)19abc- 1	37.65803010	-113.57607340	S	NAD83	 5232.50	.01	NGVD29	62.0	
USGS	373929113345301	 (C-36-15) 19bca- 1	37.65803006	-113.58218470	R	NAD83	 5215	  5	NGVD29	600	600
USGS	373930110500101	 (D-36-10)20dca- 1	37.65832336	-110.83431590	F	NAD83	 4990.00	10.	NGVD29		4010
USGS	373930113350401	 (C-36-15-) 19bbc- 1	37.65830780	-113.58524040	R	NAD83	 3205	  5	NGVD29		
USGS	373931110485301	 (D-36-10)21dca- 1	37.65860108	-110.81542640	F	NAD83	 3929.00	 1.	NGVD29	1000	3079
USGS	373931112052901	 (C-36- 3)23cbb- 1	37.65859456	-112.09213670	S	NAD83	 6580.00	20	NGVD29	105	105
USGS	373931113083301	 (C-36-12)24ada- 1	37.65858800	-113.14328380	F	NAD83	 5515	 20	NGVD29		
USGS	373931113341301	 (C-36-15) 19aac- 1	37.65858570	-113.57107320	R	NAD83	 5250	 10	NGVD29	604	604
USEPA	373933113083601	(C-36-24)12ada-1	37.65914358	-113.14411720	U	NAD83	 5510	  5	NGVD29		
USGS	373933113083801	(C-36-12)24ada-1	37.65916667	-113.14388890	U	NAD83					
USGS	373934109065001	 (D-36-25)13adb- 1	37.65943780	-109.11455570	F	NAD83	 6108.00	 20	NGVD29	5918	
USGS	373934113333501	 (C-36-15)20bac- 1	37.65941910	-113.56051730	S	NAD83	 5276.69	.01	NGVD29	121	
USGS	373934113334801	 (C-36-15) 20bba- 1	37.65941908	-113.56412860	R	NAD83	 5270	 10	NGVD29		
USGS	373936111444601	 (D-36- 1)24cbd- 1 formerly (D-36- 1)24db - 1	37.65998830	-111.74684460	F	NAD83	 7268.00	200	NGVD29		
USGS	373936112232601	(C-36- 5)23cdb-1	37.66000000	-112.39055560	U	NAD83					
USGS	373936113342801	 (C-36-15) 19abb- 1	37.65997450	-113.57524000	R	NAD83	 5230	  5	NGVD29		
USGS	373936113405901	 (C-36-16)18aac- 1	37.65997355	-113.68385480	S	NAD83	 5220.00	2	NGVD29	330	330
USGS	373939110401101	 (D-36-11)19   - 1	37.66082330	-110.67042230	F	NAD83	 4075.00	200	NGVD29		
USGS	373939113334801	 (C-36-15) 20bbd- 1	37.66080790	-113.56412860	R	NAD83	 5270	 10	NGVD29	505	505
USGS	373942110380201	 (D-36-12)18bbd- 1	37.66165670	-110.63458820	F	NAD83	 4385.00	040	NGVD29	757	757
USGS	373943113141801	 (C-36-12)19aab- 1	37.66192117	-113.23911950	F	NAD83	 5565	 20	NGVD29		
USGS	373943113332101	 (C-36-15) 17dcc- 1	37.66191909	-113.55662840	R	NAD83	 5290	 10	NGVD29		
USGS	373947113393601	 (C-36-16) 9ccc- 1	37.66302920	-113.66079850	S	NAD83	 5203.00	  2	NGVD29	298	300
USGS	373947113393602	 (C-36-16) 9ccc- 2	37.66302920	-113.66079850	S	NAD83	 5203.00	  2	NGVD29	336	336
USGS	373947113400901	 (C-36-16) 8dcc- 1	37.66302915	-113.66996550	S	NAD83	 5206.00	  2	NGVD29	300	300
USGS	373948109325101	 (D-36-22)18bba- 1	37.66332979	-109.54817950	F	NAD83	 6497.00	 20	NGVD29	6352	
USGS	373948113362201	 (C-36-16)11ddd- 1	37.66330749	-113.60690780	S	NAD83	 5196.00	1	NGVD29	214	214
USGS	373948113390301	 (C-36-16) 9dcc- 1	37.66330709	-113.65163150	S	NAD83	 5200.00	  2	NGVD29	299	299
USGS	373948113394001	 (C-36-16) 8ddd- 1	37.66330699	-113.66190960	S	NAD83	 5203.00	  2	NGVD29	64.0	
USGS	373948113401101	 (C-36-16) 8dcc- 2	37.66330690	-113.67052100	R	NAD83	 5205	5.0	NGVD29	505	505
USGS	373949113130401	(C-36-12)17ddd-1	37.66361110	-113.21777780	U	NAD83					
USGS	373949113405901	 (C-36-16) 7ddc- 1	37.66358457	-113.68385480	R	NAD83	 5225	5.0	NGVD29		
USEPA	373951113130001	(C-36-17)12ddd-1	37.66414339	-113.21745240	U	NAD83	 5470	 10	NGVD29		
USGS	373952111232501	 (D-36- 5)19add- 1 formerly (D-36- 5)20bb - 1	37.66443290	-111.39100020	F	NAD83	 5446.00	200	NGVD29		
USGS	373953113400801	 (C-36-16)20abb- 2	37.66469578	-113.66968770	S	NAD83	 5219.00	  2	NGVD29	200	200
USGS	373953113400901	 (C-36-16)20abb- 1	37.66469577	-113.66996550	S	NAD83	 5219.00	  2	NGVD29	400	400
USGS	373954109270001	 (D-36-22)12ccd- 1	37.66499690	-109.45067630	F	NAD83	 6390.00	40	NGVD29	1800	
USGS	373955110434901	 (D-36-11)19adc- 1	37.66526760	-110.73097930	F	NAD83	 4065.00	1.0	NGVD29		3032
USGS	373959113080101	(C-36-11)18dcb-1	37.66638889	-113.13361100	U	NAD83					
USGS	373959113105101	 (C-36-12)15dda- 1	37.66636564	-113.18161820	S	NAD83	 5475	  5	NGVD29		
USGS	374000109352501	 (D-36-21)10dcb- 1	37.66666259	-109.59095870	F	NAD83	 6174.00	 20	NGVD29	5984	
USGS	374000110491501	 (D-36-10)21bdb- 1	37.66665660	-110.82153780	F	NAD83	 3956.00	 1.	NGVD29	1000	3043
USGS	374000113393601	 (C-36-16) 9ccb- 1	37.66664025	-113.66079850	S	NAD83	 5201.00	  2	NGVD29	683	683
USGS	374000113410101	 (C-36-16) 7dca- 1	37.66664000	-113.68441040	F	NAD83	 5210.00	  2	NGVD29		
USGS	374004109281401	 (D-36-22)11cdb- 1	37.66777460	-109.47123260	T	NAD83	 6310.00	40	NGVD29	160	160
USGS	374008109292101	 (D-36-22)10cad- 1	37.66888570	-109.48984430	F	NAD83	 6440.00	40	NGVD29	140	140
USGS	374009109064601	 (D-36-25)12daa- 1	37.66915990	-109.11344450	F	NAD83	 6573.00	 20	NGVD29	6383	
USGS	374009111161701	 (D-36- 6)20abb- 1 formerly (D-36- 6)17cd - 1	37.66915560	-111.27210870	F	NAD83	 5260	 20	NGVD29		
USGS	374009113323501	 (C-36-15)16cab- 1	37.66914126	-113.54385030	S	NAD83	 5317.17	.01	NGVD29	186	186
USGS	374009113343101	 (C-36-15)18bdd- 1	37.66914096	-113.57607360	S	NAD83	 5224.00	  5	NGVD29	233	233
USGS	374009113343102	 (C-36-15)18bdd- 2	37.66914096	-113.57607360	S	NAD83	 5224.00	  5	NGVD29	490	490
USGS	374009113351301	 (C-36-15) 18bcc- 3	37.66914086	-113.58774060	R	NAD83	 5205	  5	NGVD29		
USGS	374010109061801	 (D-36-26) 7cab- 1	37.66943746	-109.10566660	F	NAD83	 6605.00	 20	NGVD29	6384	
USGS	374010113403601	 (C-36-16) 8cbb- 1	37.66941780	-113.67746580	R	NAD83	 5215	  5	NGVD29		
USGS	374011113320501	 (C-36-15)16dab- 1	37.66969688	-113.53551670	S	NAD83	 5320.00	 10	NGVD29	74.0	
USGS	374011113365801	 (C-36-16)11caa- 1	37.66969610	-113.61690830	S	NAD83	 5190.00	.01	NGVD29	210	210
USGS	374012112241501	 (C-36- 5)22bda- 1	37.66997970	-112.40492800	S	NAD83	 6890	10	NGVD29	111	111
USGS	374012113021301	 (C-36-11)13dba- 1	37.66997700	-113.03772580	T	NAD83	 6070	 10	NGVD29		
USGS	374012113350201	 (C-36-15)18bcc- 3	37.66997420	-113.58468500	S	NAD83	 5210.00	  5	NGVD29	500	500
USGS	374012113402701	 (C-36-16) 8cba- 1	37.66997337	-113.67496570	S	NAD83	 5213.00	  1	NGVD29	405	405
USGS	374014113324701	 (C-36-15)16bcd- 1	37.67053009	-113.54718380	F	NAD83	 5300.00	 10	NGVD29	181	
USGS	374014113325401	 (C-36-17)12bcc- 1	37.67053007	-113.54912830	T	NAD83	 5240	 10	NGVD29		
USGS	374014113350201	 (C-36-15)18bcc- 1	37.67052974	-113.58468500	F	NAD83	 5210.00	  5	NGVD29	336	336
USGS	374014113350202	 (C-36-15)18bcc- 2	37.67052974	-113.58468500	S	NAD83	 5210.00	  5	NGVD29	480	480
USGS	374014113381401	 (C-36-16)10bdc- 1	37.67052925	-113.63802000	S	NAD83	 5196.00	  1	NGVD29	340	340
USGS	374014113383001	 (C-36-16)10bcc- 1	37.67052920	-113.64246470	S	NAD83	 5195.00	2	NGVD29	148	148
USGS	374014113384101	 (C-36-16) 9adc- 2	37.67052918	-113.64552030	S	NAD83	 5196.00	  2	NGVD29	650	650
USGS	374014113391101	 (C-36-16) 9bcd- 2	37.67052910	-113.65385390	F	NAD83	 5200	 20	NGVD29		
USGS	374014113391301	 (C-36-16) 9bdc- 2	37.67052910	-113.65440950	T	NAD83	 5198	5.0	NGVD29		
